Concentración ingrediente activo (%),ID_Articulo,Tipo_Articulo,Tienda_Local,Año_Establecimiento,ID_Tienda,Ubicación_Tienda,Tamaño_Tienda,Tipo_Tienda,Visibilidad_Articulo,Peso_articulo,Ventas,Calificacion,Nombre_Producto,Precio_soles
1.57,FDX37285,rostro,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.03027995,25,69,2.0,exfoliante de rostro con arroz amazónico 25 g,12
0.9,FDX86125,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.02560362,10,310,4.4,aceite de copaiba 10 ml,12
0.58,FDX14324,cuidado corporal,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.09841408,120,222,4.6,jabón de sangre de grado 120 g,13
4.63,FDX97886,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.08353649,10,368,3.0,óleo aromático de muña 10 ml,15
4.19,FDX63441,rostro,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.06010866,14,391,2.9,mascarilla de carbón activado 14 g,10
1.42,FDX40105,cuidado corporal,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.03913113,90,274,1.8,jabón saponificado de manzanilla 90 g,13
2.88,FDX77584,aromaterapia,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.0649558,10,319,1.3,óleo aromático de muña 10 ml,15
1.94,FDX57362,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.01466412,10,177,2.8,óleo aromático de lavanda 10 ml,20
4.95,FDX15287,cuidado corporal,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.0828887,120,320,1.6,jabón de copaiba y árbol del te 120 g,13
1.03,FDX89767,aromaterapia,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.06454917,10,418,2.4,óleo aromático de matico 10 ml,15
4.24,FDX10235,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.04676665,3,372,3.9,3 piezas de madera de palo santo,8
1.32,FDX15415,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.07494369,10,59,4.4,óleo aromático de matico 10 ml,15
4.08,FDX40523,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.02472903,100,212,1.7,aceite de almendras 100 ml,40
3.35,FDX30611,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.03845769,10,41,2.6,óleo aromático de palo rosa 10 ml,25
3.31,FDX81520,cuidado corporal,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.07728484,120,142,3.3,jabón de caléndula 120 g,13
2.26,FDX28381,aromaterapia,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.01599572,10,103,3.5,óleo aromático de molle 10 ml,15
3.32,FDX34519,otros,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.07243458,75,499,4.2,repelente de hierba luisa 75 ml,16
2.9,FDX19446,cuidado corporal,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.06158358,20,156,1.6,bálsamo amazónico de noche 20 g,20
1.62,FDX92870,rostro,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.02288152,50,195,3.3,tónico de romero 50 ml,15
4.45,FDX53872,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.01926244,10,396,1.4,óleo aromático de árbol del te 10 ml,20
1.07,FDX50631,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.05520595,30,135,1.6,aceite de pepita de uva 30 ml,22
3.75,FDX30609,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.01109828,45,291,3.9,pulsera de palo santo,15
4.22,FDX24153,probioticos,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.04082718,330,133,2.6,kéfir de agua de manzana 330 ml,7
4.76,FDX12443,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.09206672,71,209,3.4,pulsera de palo santo,15
3.17,FDX49915,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.06086199,77,132,4.7,pulsera de palo santo,15
3.97,FDX75310,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.06460435,100,50,3.9,aceite de almendras 100 ml,40
4.67,FDX23718,cuidado corporal,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.02105297,120,100,4.9,jabón de caléndula 120 g,13
1.06,FDX29256,cabello,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.03989318,50,437,3.1,shampoo sólido de sangre de grado 50 g,28
2.21,FDX85060,cuidado corporal,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.04016775,120,435,4.2,jabón de caléndula 120 g,13
1.01,FDX73731,probioticos,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.0583656,1,74,4.7,kombucha de muña 1 L,14
2.66,FDX46368,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.06283614,30,442,2.8,aceite de almendras 30 ml,20
2.74,FDX55765,probioticos,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.01304912,1,160,2.4,kombucha de kión con espirulina 1 L,14
0.56,FDX37696,cuidado corporal,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.02602324,120,83,2.8,jabón de lavanda 120 g,13
2.91,FDX72823,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.05519755,10,256,2.2,óleo aromático de muña 10 ml,15
1.44,FDX68066,cuidado corporal,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.04144483,120,157,1.8,jabón de aguaje 120 g,13
2.62,FDX99106,cuidado corporal,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.01591378,90,77,3.9,jabón saponificado de manzanilla 90 g,13
2.91,FDX48000,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.04606868,47,434,1.6,sahumerio de plantas medicinales,10
0.84,FDX58770,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.04359784,100,457,4.6,aceite de jojoba 100 ml,40
4.1,FDX91974,rostro,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.02405373,50,177,4.5,agua de rosas 50 ml,15
2.98,FDX65106,aromaterapia,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.03079673,100,442,3.0,aceite de almendras 100 ml,40
4.1,FDX82258,aromaterapia,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.08987144,100,91,2.0,aceite de almendras 100 ml,40
1.59,FDX41821,rostro,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.06428777,50,301,4.3,agua de rosas 50 ml,15
3.51,FDX96925,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.0363833,10,431,1.3,aceite de copaiba 10 ml,12
1.44,FDX63394,aromaterapia,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.02104992,10,402,3.3,óleo aromático de árbol del te 10 ml,20
4.6,FDX33236,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.04076356,10,233,4.3,óleo aromático de naranja dulce 10 ml,15
4.24,FDX43572,cuidado corporal,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.04684705,120,221,2.5,jabón de sangre de grado 120 g,13
4.77,FDX27771,cuidado corporal,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.02261019,120,201,3.3,jabón de arcilla verde 120 g,13
2.68,FDX37856,cabello,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.03418096,50,39,3.8,shampoo sólido de sangre de grado 50 g,28
